method,n,coverage,"cov[0,15)","cov[15,30)","cov[30,60)","cov[60,125]",mean_L,trivial,method_code
LPB 全部循环校准 (n_cal=8061),13096,0.9342547342700062,1.0,0.9571984435797666,0.7114093959731543,0.9502311895754518,85.8985588258741,0.0,all
"LPB 一机一点校准 均值 (n_cal=40, 20 次)",13096,0.9482742822235798,0.999,0.9589494163424124,0.783668903803132,0.9602017654476672,81.35374925365551,0.0,one_mean
LPB 一机一点校准 标准差,,0.029604377951730664,0.004472135954999584,0.048574195125046245,0.10874234704468562,0.023452297593497835,7.6699275319642455,0.0,one_sd
