rate,c0,method_code,method,n_cal,n_cal_eng,coverage,cov_dec,n_dec,n,"cov[0,15)","cov[15,30)","cov[30,60)","cov[60,125]",mean_L,trivial
0.2,20,E,E  无删失参照,8061,40,0.9943494196701282,0.308411214953271,107,13096.0,0.08,0.8910505836575876,1.0,1.0,19.897754157079337,0.0
0.2,20,A,A  丢弃删失机,6424,33,0.9943494196701282,0.308411214953271,107,13096.0,0.08,0.8910505836575876,1.0,1.0,19.891167527944237,0.0
0.2,20,B,B  把下线当失效,7388,40,0.9962583995113011,0.5420560747663551,107,13096.0,0.42,0.9221789883268483,1.0,1.0,19.30470000311454,0.0
0.2,20,Cu,Cu 选样本不加权,7211,40,0.994654856444716,0.34579439252336447,107,13096.0,0.16,0.8910505836575876,1.0,1.0,19.90341249304038,0.0
0.2,20,Cw,Cw 选样本加权,7211,40,0.994654856444716,0.34579439252336447,107,13096.0,0.16,0.8910505836575876,1.0,1.0,19.890829425016026,0.0
0.2,20,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.9952199144777032,0.41495327102803736,107,13096.0,0.23300000000000004,0.9056420233463036,1.0,1.0,19.418962859124807,0.0
0.2,30,E,E  无删失参照,8061,40,0.9870952962736713,0.4495114006514658,307,13096.0,0.34,0.4708171206225681,1.0,1.0,29.60168984743945,0.0
0.2,30,A,A  丢弃删失机,6424,33,0.9867898594990837,0.4364820846905538,307,13096.0,0.14,0.49416342412451364,1.0,1.0,29.517870591906178,0.0
0.2,30,B,B  把下线当失效,7388,40,0.9904551007941356,0.5928338762214984,307,13096.0,0.46,0.6186770428015564,1.0,1.0,28.23104746863531,0.0
0.2,30,Cu,Cu 选样本不加权,7121,40,0.9865607819181429,0.42671009771986973,307,13096.0,0.18,0.47470817120622566,1.0,1.0,29.615934707629368,0.0
0.2,30,Cw,Cw 选样本加权,7121,40,0.9866371411117899,0.42996742671009774,307,13096.0,0.18,0.4785992217898833,1.0,1.0,29.569603195507458,0.0
0.2,30,Cw1,Cw1 加权一机一点 (20次均值),40,40,0.9892562614538789,0.5416938110749185,307,13096.0,0.33999999999999997,0.5809338521400779,1.0,1.0,28.491801389963207,0.0
0.2,50,E,E  无删失参照,8061,40,0.9670128283445327,0.4935521688159437,853,13096.0,0.68,0.48249027237354086,0.6834451901565995,1.0,46.48243278952084,0.0
0.2,50,A,A  丢弃删失机,6424,33,0.9686163714111179,0.5181711606096131,853,13096.0,0.56,0.5214007782101168,0.7024608501118568,1.0,46.32411390072249,0.0
0.2,50,B,B  把下线当失效,7388,40,0.9764813683567501,0.6389214536928488,853,13096.0,0.8,0.6459143968871596,0.7684563758389261,1.0,43.15971096349647,0.0
0.2,50,Cu,Cu 选样本不加权,6941,40,0.9655620036652413,0.4712778429073857,853,13096.0,0.42,0.46303501945525294,0.6823266219239373,1.0,47.11842872129181,0.0
0.2,50,Cw,Cw 选样本加权,6941,40,0.966707391569945,0.488862837045721,853,13096.0,0.5,0.48249027237354086,0.6890380313199105,1.0,46.73339463712493,0.0
